moh_id	moh_area_name	district_id	district_name	n_cases_last_week	n_cases_this_week	population	n_cases_last_week_per_100k	n_cases_this_week_per_100k
LK-11-Battaramulla	Battaramulla	LK-11	Colombo	22	14	87511	25.13969672384043	15.997988824262093
LK-11-CMC	CMC & D3-CMC	LK-11	Colombo	16	12	508408	3.147078724174285	2.3603090431307137
LK-11-Kolonnawa	Gothatuwa & Kolonnawa	LK-11	Colombo	16	25	214070	7.474190685289858	11.678422945765403
LK-11-Hanwella	Hanwella	LK-11	Colombo	17	13	122128	13.919821826280623	10.644569631861653
LK-11-Homagama	Homagama	LK-11	Colombo	25	23	179146	13.95509807642928	12.838690230314938
LK-11-Kaduwela	Kaduwela	LK-11	Colombo	32	21	190407	16.806104817574987	11.029006286533583
LK-11-Maharagama	Maharagama	LK-11	Colombo	39	18	155965	25.005610233065113	11.541050876799282
LK-11-Piliyandala	Piliyandala	LK-11	Colombo	21	21	204301	10.278951155403057	10.278951155403057
LK-11-Pitakotte	Pitakotte	LK-11	Colombo	11	13	61468	17.895490336435216	21.14921585215071
LK-12-Attanagalla	Aththanagalla	LK-12	Gampaha	35	24	199017	17.586437339523762	12.059271318530577
LK-21-Kandy-Four-Gravets-&-Gangawata-Korale	Kandy MC	LK-21	Kandy	29	32	152397	19.029245982532466	20.99778867038065
LK-21-Kundasale	Kundasale	LK-21	Kandy	10	11	73586	13.589541488870166	14.948495637757183
LK-21-Pasbage-Korale	Pasbage	LK-21	Kandy	11	21	65553	16.78031516482846	32.035147132854334
LK-21-Udunuwara	Udunuwara	LK-21	Kandy	9	10	70803	12.711325791280032	14.12369532364448
LK-21-Pathadumbara	Waththegama	LK-21	Kandy	8	16	96889	8.256871265055889	16.513742530111777
LK-21-Yatinuwara	Yatinuwara	LK-21	Kandy	14	18	113769	12.305636860656243	15.821533106558027
LK-31-Galle-Four-Gravets	MC-Galle	LK-31	Galle	15	10	108321	13.84773035699449	9.231820237996326
LK-32-Weligama	Weligama	LK-32	Matara	7	11	76136	9.19407376274036	14.447830198591994
LK-52-Thirukkovil	Thirukkovil	LK-52	Puttalam	5	10	28546	17.515588874097947	35.031177748195894
LK-62-Wennappuwa	Wennappuwa	LK-62	Puttalam	13	10	64768	20.071640316205535	15.439723320158103
LK-71-Thalawa	Thalawa	LK-71	Anuradhapura	1	14	60237	1.6601092351876752	23.241529292627455
LK-92-Yatiyanthota	Yatiyanthota	LK-92	Kegalle	15	11	62255	24.094450244960246	17.669263512970844
